Name,Phone number,Address,Website
Law Boon Tiong,+60 3-4280 7531,"25G, Jalan Wawasan Ampang 2/10, Bandar Baru Ampang, 68000 Ampang, Selangor25G, Jalan Wawasan Ampang 2/10, 68000, Bandar Baru Ampang, Ampang, Selangor, Malaysia",#
Nasi Rizqeen,+60 12-950 7576,"Lot 29 & 30 D Kampung Melayu Food Court, Jalan Jati, Kampung Melayu Ampang, 68000 Ampang Jaya, Selangor, Malaysia",#
AMPANG CORNER,+60 18-288 3928,"No 1&2 Gerai statik, Jalan Kolam Air Lama, 68000 Ampang Jaya, Selangor, Malaysia",#
FanThai,+60 14-734 3887,"Jalan Jati, Kampung Melayu Ampang, 68000 Ampang, Selangor, Malaysia",#
Ar-Rayyan Briyani HouseWebsiteDirections            Saved (0) Saved Save     ,+60 13-899 0131,"39G, Jalan Wawasan 2/1, Bandar Baru Ampang, 68000 Ampang, Selangor, Malaysia",https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.facebook.com/pages/category/Restaurant/Ar-Rayyan-Briyani-House-348506672426928/&ved=2ahUKEwi8g6yzh_3hAhV98XMBHWm4Bn0QFjAAegQIBBAB&usg=AOvVaw1My4XJGN72ZNukeuSsmwEJ
Restoran Namasthe Indian,+60 13-333 2285,"no 12 batu, 4, Persiaran Ampang, Desa Pahlawan, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",#
Ampang BOB KOPITIAMDirections            Saved (0) Saved Save     ,+60 10-227 9983,"972a, Jalan 16, Kampung Baru Ampang, 68000 Ampang, Selangor, Malaysia",#
Asam Pedas 1949,+60 19-693 5966,"Kampung Melayu Ampang, 68000 Ampang Jaya, Selangor, Malaysia",#
Restoran Hong Sang,+60 12-980 2622,"D22, Gerai Staik, Jalan Bunga Tanjung 10, Taman Muda, 68000 Ampang, Selangor, Malaysia",#
Ampang Fishball Restaurant 安邦西刀魚丸粉,+60 12-285 2828,"14G, Jalan Perubatan 2, Pandan Indah, 55100 Kuala Lumpur, Selangor, Malaysia",#
Xiang Xiang Bak Kut TehDirections            Saved (0) Saved Save     ,+60 14-323 1268,"712, Jalan Merdeka, Kampung Baru Ampang, 68000 Ampang, Selangor, Malaysia",#
KFC Ampang 2,+60 3-4287 4082,"52G, 54G, Jalan Wawasan 2/3, Bandar Baru Ampang, 68000 Kuala Lumpur, Selangor, Malaysia",https://kfc.com.my/
Restoran KG Gegar @ Taman Dagang AmpangWebsiteDirections            Saved (0) Saved Save     ,+60 3-2330 1519,"G-6 Dagang Cahaya, Jalan Dagang 5, Taman Dagang, Ampang Jaya, Malaysia",https://www.facebook.com/Kari-Gegar-1674450326156469/
Insieme Italian Restaurant & Bar,+60 17-738 0163,"Hock Choon Supermarket, Lot 1F-09, 1st Floor, 241, 1, Jalan Ampang, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",#
Restaurant Good Friend Keong,+60 16-969 5222,"Jalan Besar Ampang, Pekan Ampang, 68000 Ampang, Selangor, Malaysia",#
Dhaka Restaurant,+60 10-709 7656,"27, Jalan Besar Ampang, Pekan Ampang, 68000 Ampang, Selangor, Malaysia",#
Restoran Ayam Kampung,+60 12-776 2426,"Kampung Melayu Ampang, 68000 Ampang Jaya, Selangor, Malaysia",#
MZ nasi ayam king taman kosas 68000 ampang,+60 19-238 5186,"MZ nasi ayam king taman kosas 68000 ampang jaya selangor Kuala lumpur, 68000 Ampang, Malaysia",#
ALI SUCI ENTERPRISEDirections            Saved (0) Saved Save     ,+60 17-731 4404,"LOT 006, Jalan Pasar, Pekan Ampang, 68000 Ampang, Selangor, Malaysia",#
Kedai Makanan Sun SunDirections            Saved (0) Saved Save     ,+60 3-4297 9178,"103, Jalan Besar Ampang, Pekan Ampang, 68000 Ampang, Selangor, Malaysia",#
Dagang Avenue Food Court,+60 17-679 4779,"JalanTaman, Jalan Dagang, Taman Nirwana, 68000 Ampang, Selangor, Malaysia",https://www.facebook.com/dagangavenuefoodcourt/
Veg Fish Farm Thai RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 16-398 6493,"KM4, Jalan Hulu Langat, 68000 Ampang, Selangor, Malaysia",http://www.fishfarmthai.com.my/
Green Tomato CafeWebsiteDirections            Saved (0) Saved Save     ,+60 12-257 9775,"51 embun kemensah, Jln Tiara Kemensah 3, 68000 Ampang, Selangor, Malaysia",https://green-tomato-cafe.business.site/
Ampang Lookout Point,+60 11-3740 8409,"B62, Jalan Hulu Langat, 43100 Ampang, Selangor, Malaysia",#
"Dolly Dim Sum, Avenue K",+60 12-678 7842,"Avenue K, G9, 156, Jln Ampang, Kampung Baru, 50450 Kuala Lumpur, Malaysia",http://www.dollydimsum.com/
The Butter PantryWebsiteDirections            Saved (0) Saved Save     ,+60 3-4266 5502,"C6-M & C7-M, Jalan Ampang Utama 1/1, One Ampang Avenue, 68000 Ampang, Selangor, Malaysia",https://www.instagram.com/thebutterpantrykl/
Pejabat Pos Ampang Point,+60 3-4253 2850,"Lot F21A, First Floor Ampang Point Shopping Center, Jln Ampang, 68000 Ampang, Wilayah Persekutuan Kuala Lumpur, Malaysia",https://www.pos.com.my/
"Klinik Kita, Ampang Business Avenue",+60 3-4257 1232,"Unit B 3A/1/1, Jalan Ampang Utama 1/2, One Ampang Business Avenue, Ampang, Ampang, Hulu Langat, 53300, Malaysia",#
Savini Restaurant,+60 3-2181 4488,"Level 2, Lot 2-05,The Intermark, Jln Tun Razak, 50400 Kuala Lumpur, Malaysia",#
Sushi OribeWebsiteDirections            Saved (0) Saved Save     ,+60 3-2181 4099,"Vipod Residences, Ground Floor Block C-1, No 6, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Malaysia",http://oribe-sushi.com.my/
Tarbush RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 3-2142 8558,"138, Bukit Bintang St, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",https://www.facebook.com/TarbushRestaurantMalaysia/
Nak Won Korean BBQ Restaurant,+60 3-7987 3004,"7 - 1 - 1, Jalan 3/109f, Taman Danau Desa, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",#
